fid|acceptancedatetime|accessionnumber|conformedsubmissiontype|publicdocumentcount|conformedperiodofreport|filedasofdate|dateasofchange|effectivenessdate|sicsdesc|sicscode|irsnum|fiscalyearend|stateofincorp
1000209-0001193125-20-123241|2020-04-28 16:50:56|0001193125-20-123241|DEF 14A|5|2020-06-19|2020-04-28|2020-04-28|2020-04-28|FINANCE SERVICES|6199|043291176|1231|DE
1000228-0001193125-20-099923|2020-04-07 07:01:00|0001193125-20-099923|DEF 14A|2|2020-05-21|2020-04-07|2020-04-07|2020-04-07|WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES|5047|113136595|1228|DE
1000232-0001558370-20-006159|2020-05-11 12:04:04|0001558370-20-006159|DEF 14A|6|2020-06-16|2020-05-11|2020-05-11|2020-05-11|STATE COMMERCIAL BANKS|6022|610993464|1231|KY
1000298-0001047469-20-002623|2020-04-28 08:30:33|0001047469-20-002623|DEF 14A|4|2020-06-23|2020-04-28|2020-04-28|2020-04-28|REAL ESTATE INVESTMENT TRUSTS|6798|330675505|1231|MD
1000623-0001000623-20-000066|2020-04-10 16:13:24|0001000623-20-000066|DEF 14A|1|2020-04-10|2020-04-10|2020-04-10|2020-04-10|PAPER MILLS|2621|621612879|1231|DE
1000683-0001213900-20-011263|2020-05-07 13:34:20|0001213900-20-011263|DEF 14A|1|2020-06-11|2020-05-07|2020-05-07|2020-05-07|RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT|3663|521611421|1231|DE
1000694-0001104659-20-060342|2020-05-12 21:57:59|0001104659-20-060342|DEF 14A|17|2020-06-25|2020-05-13|2020-05-12|2020-05-13|BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)|2836|222816046|1231|DE
1000697-0001193125-20-095418|2020-04-02 09:00:58|0001193125-20-095418|DEF 14A|16|2020-05-12|2020-04-02|2020-04-02|2020-04-02|LABORATORY ANALYTICAL INSTRUMENTS|3826|133668640|1231|DE
1000753-0001000753-20-000019|2020-04-15 18:42:11|0001000753-20-000019|DEF 14A|13|2020-05-20|2020-04-16|2020-04-15|2020-04-16|SERVICES-HELP SUPPLY SERVICES|7363|760479645|1231|DE
1001171-0001047469-20-003147|2020-05-20 12:49:17|0001047469-20-003147|DEF 14A|9|2020-06-24|2020-05-20|2020-05-20|2020-05-20|SAVINGS INSTITUTION, FEDERALLY CHARTERED|6035|954547287|1231|DE
